#Min_Id	Max_Id	Length	可否hold	是否起降	是否弯道
175	183	123.60 	0	0	1
182	191	348.20 	1	0	0
191	193	133.00 	0	0	0
192	194	129.50 	0	0	0
191	192	103.60 	0	0	1
191	194	94.38 	0	0	1
193	194	95.36 	0	0	1
192	193	108.40 	0	0	1
193	195	123.90 	1	0	0
192	348	124.90 	1	0	0
196	349	125.40 	1	0	0
196	197	129.50 	0	0	0
195	196	105.60 	0	0	1
195	197	94.09 	0	0	1
197	198	106.60 	0	0	1
198	199	106.60 	0	0	0
179	199	484.60 	0	0	0
176	179	198.20 	0	0	0
176	177	129.60 	0	0	0
168	177	244.20 	1	0	0
164	168	111.60 	0	0	0
194	199	116.70 	0	0	1
179	194	434.20 	0	0	0
179	181	118.10 	0	0	1
176	181	133.90 	0	0	1
180	181	127.20 	0	0	0
179	180	123.20 	0	0	1
176	180	137.10 	0	0	1
174	176	89.85 	0	0	1
174	177	93.73 	0	0	1
176	178	97.04 	0	0	1
177	178	97.42 	0	0	1
174	178	118.40 	0	0	0
167	168	86.99 	0	0	1
164	167	84.49 	0	0	1
164	169	95.43 	0	0	1
168	169	93.51 	0	0	1
167	169	127.00 	0	0	0
160	164	127.30 	0	0	0
162	163	122.90 	0	0	0
162	164	86.68 	0	0	1
163	164	91.67 	0	0	1
160	163	103.30 	0	0	1
160	162	93.31 	0	0	1
146	147	100.80 	0	0	1
142	146	97.20 	0	0	1
142	148	105.60 	0	0	1
147	148	107.40 	0	0	1
146	148	126.40 	0	0	0
142	147	141.70 	0	0	0
180	184	92.88 	0	0	0
184	190	143.50 	0	0	0
178	186	148.70 	1	0	0
184	185	98.25 	0	0	1
185	190	97.47 	0	0	1
185	186	117.70 	0	0	1
185	187	425.50 	0	0	0
186	187	326.20 	0	0	0
169	170	102.20 	0	0	0
170	187	96.42 	0	0	1
170	188	96.41 	0	0	1
187	188	112.90 	0	0	0
163	171	94.48 	0	0	0
188	189	108.80 	0	0	0
171	188	101.70 	0	0	1
171	189	97.12 	0	0	1
189	310	262.00 	0	0	0
157	158	91.69 	0	0	0
150	310	450.00 	0	0	0
141	150	248.50 	0	0	0
148	149	90.01 	0	0	0
158	310	108.00 	0	0	1
150	158	437.70 	0	0	0
149	150	126.90 	0	0	1
141	149	213.00 	0	0	1
137	138	111.60 	0	0	0
139	141	131.20 	0	0	0
138	140	129.60 	0	0	0
138	141	92.08 	0	0	1
140	141	92.02 	0	0	1
138	139	98.33 	0	0	1
139	140	100.90 	0	0	1
130	139	211.10 	1	0	0
125	126	102.00 	0	0	0
126	129	136.20 	0	0	0
128	130	128.80 	0	0	0
126	130	108.10 	0	0	1
129	130	105.30 	0	0	1
128	129	94.78 	0	0	1
126	128	92.55 	0	0	1
115	127	104.60 	0	0	0
127	131	177.40 	0	0	0
115	116	81.63 	0	0	1
116	127	88.43 	0	0	1
127	128	103.20 	0	0	1
128	131	119.50 	0	0	1
128	132	146.80 	0	0	0
127	132	150.60 	0	0	1
131	132	117.30 	0	0	1
116	117	289.90 	0	0	0
103	104	93.62 	0	0	0
117	118	96.27 	0	0	0
103	117	76.86 	0	0	1
103	118	75.15 	0	0	1
104	118	62.17 	0	0	1
104	117	63.71 	0	0	1
118	119	312.70 	0	0	0
119	120	64.28 	0	0	0
96	97	182.40 	0	0	0
96	119	67.22 	0	0	1
96	120	65.61 	0	0	1
97	119	143.60 	0	0	1
97	120	144.30 	0	0	1
120	121	336.60 	0	0	0
91	92	175.70 	0	0	0
91	121	53.26 	0	0	1
92	121	149.30 	0	0	1
92	132	1130.00 	0	0	0
190	589	349.40 	1	0	0
140	585	341.00 	1	0	0
129	201	204.00 	1	0	0
201	203	144.50 	0	0	0
131	200	173.60 	1	0	0
200	205	387.00 	1	0	0
203	204	104.20 	0	0	0
204	207	137.80 	0	0	0
207	208	267.30 	1	0	0
205	209	180.40 	1	0	0
201	202	100.50 	0	0	1
202	203	96.37 	0	0	1
200	202	99.23 	0	0	1
202	205	340.50 	0	0	1
200	551	51.17 	0	0	1
205	551	354.70 	0	0	1
200	552	106.30 	0	0	1
205	552	303.20 	0	0	1
200	553	162.40 	0	0	1
205	553	243.80 	0	0	1
200	554	236.80 	0	0	1
205	554	168.80 	0	0	1
200	555	300.80 	0	0	1
205	555	108.40 	0	0	1
200	556	352.70 	0	0	1
205	556	56.12 	0	0	1
202	551	86.09 	0	0	1
202	552	83.78 	0	0	1
202	553	114.60 	0	0	1
202	554	187.90 	0	0	1
202	555	250.90 	0	0	1
202	556	303.50 	0	0	1
205	206	97.79 	0	0	1
200	206	345.60 	0	0	1
206	556	87.32 	0	0	1
206	555	88.68 	0	0	1
206	554	125.90 	0	0	1
206	553	196.50 	0	0	1
206	552	260.40 	0	0	1
206	551	311.80 	0	0	1
204	206	90.98 	0	0	1
206	207	96.06 	0	0	1
209	210	363.70 	1	0	0
208	211	277.00 	1	0	0
212	214	130.50 	0	0	0
213	215	131.60 	0	0	0
208	214	113.90 	0	0	1
208	212	100.20 	0	0	1
211	212	240.90 	0	0	1
211	214	257.00 	0	0	1
213	214	159.50 	0	0	1
211	213	168.30 	0	0	1
211	215	186.10 	0	0	1
212	215	161.20 	0	0	1
208	215	197.70 	0	0	1
209	212	184.50 	0	0	1
210	212	239.70 	0	0	1
209	213	260.90 	0	0	1
210	213	168.10 	0	0	1
212	557	161.40 	0	0	1
212	558	122.20 	0	0	1
212	559	94.22 	0	0	1
212	560	121.50 	0	0	1
212	561	189.20 	0	0	1
210	561	90.49 	0	0	1
213	557	237.70 	0	0	1
213	558	198.60 	0	0	1
213	559	129.20 	0	0	1
213	560	94.67 	0	0	1
213	561	116.60 	0	0	1
210	560	160.00 	0	0	1
210	559	231.20 	0	0	1
210	558	290.40 	0	0	1
210	557	340.50 	0	0	1
209	557	51.90 	0	0	1
209	558	108.30 	0	0	1
209	559	169.70 	0	0	1
209	560	243.90 	0	0	1
209	561	310.30 	0	0	1
211	599	213.80	1	0	0
220	599	220.60 	1	0	0
218	222	129.60 	0	0	0
219	221	132.30 	0	0	0
210	223	435.70 	1	0	0
218	599	105.90 	0	0	1
218	220	209.00 	0	0	1
218	221	182.30 	0	0	1
218	219	198.70 	0	0	1
219	599	210.30 	0	0	1
219	222	178.40 	0	0	1
219	220	98.00 	0	0	1
220	222	188.70 	0	0	1
220	221	85.60 	0	0	1
221	222	162.00 	0	0	1
221	599	193.90 	0	0	1
222	599	92.00 	0	0	1
210	222	307.10 	0	0	1
222	571	212.90 	0	0	1
222	572	148.20 	0	0	1
222	573	117.70 	0	0	1
222	574	112.50 	0	0	1
222	223	194.70 	0	0	1
221	222	168.40 	0	0	1
210	221	409.40 	0	0	1
221	571	314.00 	0	0	1
221	572	250.50 	0	0	1
221	573	192.10 	0	0	1
221	574	140.20 	0	0	1
221	223	88.05 	0	0	1
223	571	340.30 	0	0	1
223	572	276.80 	0	0	1
223	573	218.40 	0	0	1
223	574	153.20 	0	0	1
210	574	318.50 	0	0	1
571	574	222.90 	0	0	1
572	574	158.10 	0	0	1
571	573	166.40 	0	0	1
210	573	261.80 	0	0	1
210	571	139.70 	0	0	1
214	601	85.55	1	0	0
575	601	747.15 	0	0	0
215	602	83.00	1	0	0
575	602	734.70 	0	0	0
216	602	139.40 	0	0	1
216	575	759.00 	0	0	1
579	580	125.00 	0	0	0
216	576	213.50 	0	0	0
576	581	147.10 	0	0	0
218	580	207.90 	0	0	0
578	579	95.17 	0	0	1
578	580	94.56 	0	0	1
580	581	95.66 	0	0	1
218	581	159.10 	0	0	1
218	576	201.90 	0	0	1
576	580	127.20 	0	0	1
217	578	90.31 	0	0	0
217	577	81.56 	0	0	1
577	578	87.53 	0	0	1
577	581	91.13 	0	0	1
219	581	163.80 	0	0	1
219	577	205.70 	1	0	0
217	233	127.40 	0	0	0
231	232	136.50 	0	0	0
225	231	207.10 	1	0	0
220	226	114.70 	0	0	0
224	225	131.90 	0	0	0
217	232	107.70 	0	0	1
232	233	94.16 	0	0	1
231	233	97.59 	0	0	1
217	231	108.20 	0	0	1
220	225	103.90 	0	0	1
225	226	98.80 	0	0	1
224	226	88.32 	0	0	1
220	224	90.62 	0	0	1
234	579	629.70 	0	0	0
234	235	265.60 	0	0	0
223	227	115.50 	0	0	0
224	228	126.30 	0	0	0
223	224	87.27 	0	0	1
224	227	88.16 	0	0	1
227	228	94.10 	0	0	1
223	228	93.86 	0	0	1
228	229	100.50 	0	0	0
229	230	139.40 	0	0	0
229	281	95.87 	0	0	1
230	281	97.62 	0	0	1
230	284	253.10 	1	0	0
284	286	146.60 	0	0	0
284	285	104.10 	0	0	1
285	286	107.50 	0	0	1
286	597	300.70 	1	0	0
288	597	253.00	1	0	0
288	291	146.70 	0	0	0
288	289	99.97 	0	0	1
289	291	100.30 	0	0	1
291	294	378.80 	1	0	0
294	296	127.60 	0	0	0
296	298	134.80 	0	0	0
294	300	97.32 	0	0	1
296	300	85.87 	0	0	1
296	299	94.55 	0	0	1
298	299	91.70 	0	0	1
298	303	404.50 	1	0	0
303	308	138.00 	0	0	0
303	305	107.30 	0	0	1
305	308	86.96 	0	0	1
307	308	198.20 	0	0	1
308	309	176.20 	0	0	1
307	309	79.17 	0	0	1
305	306	116.30 	0	0	0
304	309	129.90 	0	0	0
304	305	98.93 	0	0	1
304	306	96.85 	0	0	1
306	309	88.27 	0	0	1
