#Min_Id	Max_Id	Length
74	75	200.05059693400
73	74	295.27559054600
70	77	271.48160958000
66	70	290.51308102900
67	73	227.01850466900
61	67	269.87553975400
65	66	230.20985592900
59	61	176.21285242200
60	62	169.98149011600
63	65	204.79406259500
62	64	165.10033019600
57	59	363.59368147400
56	63	350.83820167600
52	56	166.69539274700
50	57	222.27312195800
55	58	169.87025780600
49	50	342.91538459800
51	52	165.22240070100
53	54	141.32345229100
48	51	227.01850466900
186	369	583.23471562600
134	137	278.39883182400
133	231	612.39820835100
98	100	173.38407217600
98	99	204.15026145100
94	99	140.51821950100
93	94	141.00999265500
94	95	111.78021336300
96	97	141.46620247700
97	98	120.81654325600
98	101	116.78264241900
101	102	159.96358898300
102	105	228.33549168500
94	96	193.78947510100
95	96	199.45780648700
90	91	148.19972310800
90	92	170.06778542600
89	90	109.05758890100
86	90	124.40053693700
85	86	147.40525901100
82	85	181.09714097500
85	91	161.04216301000
84	85	154.94850349500
81	82	115.26291471000
81	85	182.20439286300
80	81	126.61880250500
79	80	124.71787545300
76	77	139.49529179200
76	78	227.86935674700
78	79	176.30550602000
77	78	244.97173535100
76	79	191.66541124900
74	76	131.21708550100
75	76	156.58808724600
75	80	164.57970444500
80	84	172.06912629500
78	88	175.22035454300
82	87	216.47865899700
96	104	182.79758035400
102	103	199.51535584700
67	83	223.76052283600
73	83	242.75984623300
67	69	166.24717640800
69	73	144.03137453800
69	83	245.21725144200
69	70	162.66848988900
66	69	215.74461536100
70	71	264.43978644700
71	72	257.99229230000
60	61	146.54130665700
61	62	137.51275601600
59	60	118.36128425400
59	62	124.70015434900
62	65	128.60928627900
64	65	140.78348772800
62	63	150.46011990200
63	64	153.46846829600
57	58	145.03287266500
55	57	137.30285776900
50	58	157.84501143000
50	55	157.04768021600
55	56	119.50845565000
52	55	120.70784750200
52	53	122.49431269300
51	53	138.14365968800
46	47	155.64255766400
44	49	212.16876420100
47	49	142.27668153900
46	49	138.99479834100
44	47	140.50464878200
44	46	131.97123738600
46	48	141.32268200000
45	46	138.96096535000
42	45	201.61915314500
45	48	186.53162305800
43	44	193.70141024700
23	43	180.18860363500
40	42	182.62497425100
39	41	166.69539275100
38	39	147.77429159200
39	40	134.33765553300
39	42	142.91537827900
40	41	125.40814864500
41	42	129.93305375000
23	41	139.44447368100
41	43	137.32500794100
23	24	130.17526035000
21	24	138.91871785700
21	23	145.46395213100
24	25	138.12189950700
22	35	155.59353396000
35	36	176.27719892200
33	34	182.56976718400
34	40	106.41009032500
33	35	137.87387235800
34	35	137.04025345000
34	36	139.92197999700
33	36	149.88116703800
22	25	118.24071596800
22	24	109.83727898800
24	35	107.70503246200
25	35	114.10373408100
18	22	103.19991722100
25	29	151.61486451900
32	33	127.01017551200
28	30	167.30408569700
28	32	131.50293880300
30	32	142.79123947000
26	29	174.56076295400
28	29	124.89605879500
26	28	214.33644589200
30	31	294.41236563600
36	37	142.88410494200
166	167	160.83299734400
129	167	641.05064772000
198	199	98.74872453370
199	200	132.36112973800
197	198	121.69028267900
196	197	142.68321200400
196	198	136.75582013600
198	200	151.61486451900
189	196	450.53365278600
186	188	144.03693719200
185	187	180.26725922800
187	189	188.00597815100
189	190	206.39595573900
187	190	145.45428028900
187	188	127.31227705700
186	187	128.76916383100
185	186	138.62330311500
185	188	99.38930269020
9	237	130.55751441300
15	237	345.70139056100
14	237	309.31675860000
9	238	194.18157559700
15	238	272.54265714800
14	238	236.96809095000
9	239	268.24579170800
15	239	190.21962008100
9	240	353.79721122100
15	240	114.70270320800
14	240	131.63083729200
14	15	102.35117964300
15	17	419.63300874400
13	16	463.19828296400
16	21	671.52134890600
17	18	273.05516090500
19	20	127.01017551300
15	243	114.80850487700
15	244	208.63055157400
15	245	296.54344099800
15	246	367.97855889600
17	246	132.56846786300
17	242	125.96918501900
242	246	134.42863364500
18	20	97.23939965910
18	19	94.54674841940
20	27	453.23823963700
20	248	71.09119134260
16	255	140.89505432200
16	257	140.61247241200
21	261	108.10126804900
242	258	130.65175707900
177	362	305.51810725600
362	363	306.35715710100
363	364	252.42783218800
47	364	282.85471029500
177	360	115.97642150500
361	362	134.80303814500
262	362	124.47204939000
263	363	121.79477528600
264	363	117.67615737500
265	364	105.85181013300
266	364	116.77581554500
47	267	144.13688420800
177	275	111.04349047600
274	362	139.65079294700
273	362	117.36268131200
272	363	107.37563444800
271	363	118.80622891900
270	364	116.39952669600
269	364	106.83765313200
47	268	143.75878060000
184	366	372.23212938000
365	366	226.24018075900
58	365	578.14710238400
184	276	140.75152842400
277	366	163.29775258000
278	365	149.55706590100
58	281	133.65200957700
282	365	163.74054165500
57	284	119.45917831200
59	284	343.04022886200
57	285	223.06659220100
59	285	232.67535748900
57	286	345.84960730100
59	286	108.45831258700
186	292	150.98540201400
367	368	170.55621593200
190	371	489.28479051500
190	368	418.36579899800
289	370	150.72326882100
83	300	130.34077142700
83	372	263.91278946600
305	368	358.79316999700
368	373	724.99142936100
304	368	495.04713798100
303	368	604.79246756200
302	368	733.00871962600
306	368	326.18144930000
307	368	426.67391075800
308	368	526.38914224500
309	368	644.87333381500
310	368	760.22742488500
296	368	280.95702568700
197	313	96.36392689240
197	312	208.83999511200
197	311	320.87714522000
197	374	377.27986004900
197	316	202.45859971600
197	317	330.19626083000
207	322	101.29603242300
207	323	84.46265473220
208	324	115.25327264400
207	208	211.14389024500
208	326	107.77739203400
209	329	78.94751323310
221	333	109.28760688900
230	375	474.91133050600
376	377	244.61636662900
74	376	134.61193544800
76	376	161.82667454900
75	320	106.45928894000
84	355	106.13206023100
91	356	126.50310099100
231	354	240.64017628200
137	354	765.10156539700
231	353	361.59198036400
137	353	624.15701327500
231	352	501.78655171700
137	352	498.87879260800
231	351	636.14705951800
137	351	355.73317106900
231	350	771.58201771200
137	350	203.24344211200
231	349	948.01202859400
138	394	488.97742551700
137	348	120.94922468300
138	345	100.42394272800
138	342	120.05220465000
137	344	141.72882131300
3	380	108.48718010600
7	380	491.47492411600
3	381	151.23810927000
7	381	446.20546562500
3	382	206.45183900600
7	382	382.72826614200
3	383	286.44368893200
3	383	286.43393805200
7	383	302.60343625500
9	241	422.79107979300
9	15	388.06118234600
17	386	457.13879963700
17	243	384.87107070300
17	244	289.37110109900
17	245	208.43032906000
15	387	459.06198552800
15	242	356.76317157900
18	247	314.36282499500
17	20	242.40692271800
17	19	243.60414757000
20	252	385.39620124600
20	251	304.94562170800
20	250	230.17752781100
20	249	156.16004335900
27	248	414.11872035100
26	248	308.19087012900
26	249	231.60614245700
27	249	337.55606089100
26	252	231.70171640100
20	26	347.19960272500
13	14	345.49177926200
14	16	195.08223648900
13	253	139.22840878800
14	253	271.16902716300
16	253	388.75595356800
13	254	262.93269827800
16	254	271.51230308500
14	254	173.74925554500
13	255	377.84360547800
14	255	144.51730702000
13	388	495.63787907100
14	388	238.20397056600
189	295	207.68092357400
196	295	319.41688899200
189	315	325.17292758600
196	315	199.77533756400
189	314	488.82044658600
198	389	173.47065583000
200	322	221.57664225500
208	323	207.25483256700
207	324	167.11570473300
207	325	239.55091662400
234	323	124.63919344700
234	324	154.49921117400
234	325	210.65824487000
209	390	345.31522039400
211	390	217.54182193000
211	326	159.02683034200
209	326	271.33923796200
208	327	163.17276405500
211	327	127.02661019400
209	327	211.30141153500
208	328	236.03533415600
209	328	150.13149039000
208	329	304.49588027000
211	329	179.90613605800
208	391	373.43296261700
211	391	238.56629480500
209	221	356.60502083700
220	221	211.08214613500
221	330	353.16296440700
209	331	149.24444809600
221	331	265.73402889500
220	331	139.73059032500
220	330	204.71436599700
209	332	239.88051873800
221	332	189.37528876400
220	332	130.76380463500
209	333	312.10099898400
220	333	169.90364259500
221	229	317.29762370500
137	345	437.78175863800
138	346	160.14482698900
137	346	368.60017062600
138	347	263.33099338400
137	347	246.95950320900
138	348	376.73453982300
137	342	410.20184739200
138	343	255.72700951700
137	343	270.35128726500
138	344	370.19597370600
150	151	178.70926445700
166	385	179.83393378600
167	385	143.29431283000
69	301	235.66228841200
83	301	109.20629934200
75	376	152.19215934800
84	320	238.38705771600
75	321	253.05941523800
91	392	277.98800088800
91	355	183.00368783900
84	356	175.89525454700
84	393	283.42176658200
92	357	215.32391710500
230	334	470.85197128500
230	335	410.77717901700
230	336	339.75871262100
230	337	276.76174428300
230	338	194.55510606600
230	339	340.73726895000
230	340	267.92125596700
230	341	185.45936442400
16	242	261.29878290700
21	242	453.29213039400
19	21	156.87475946500
16	261	625.84877681700
242	261	407.50475876900
21	260	224.66099494000
242	260	285.03272156900
16	260	504.16701166000
21	259	342.34088508600
19	259	244.20562048800
16	259	384.46654454800
21	258	453.79403712900
19	258	356.89342514700
16	258	260.65286686100
19	257	473.43947256900
21	257	570.74552012500
242	256	284.54277144400
19	256	597.20712980200
21	256	694.80346582100
275	362	294.96824662100
177	274	256.95562730800
177	361	265.63321657600
360	362	290.88463636900
262	363	277.24713430800
273	363	276.65294779700
263	362	279.55794629000
272	362	289.22186870600
264	364	230.95914774300
271	364	231.46635206000
265	363	251.55032571900
270	363	244.03467746300
47	266	267.68793310200
47	269	269.25418408400
267	364	240.20925257100
268	364	231.44387088300
276	366	311.10488440400
184	277	287.72026941400
58	278	497.30237485500
58	282	489.11430446800
279	365	283.54322924600
58	279	371.27628131300
280	365	406.82813515000
58	280	253.01931007500
281	365	535.75410763500
283	365	350.83070502200
58	283	282.37041331000
292	367	322.88033537700
292	369	478.79113382200
186	291	309.18579629900
291	369	321.69347599500
186	290	438.48191799100
290	369	197.82897315600
290	367	165.77460272000
186	367	427.24308615900
367	369	251.28555511000
190	367	410.20290374600
367	371	175.57281110400
368	371	177.90307218400
294	371	296.53983503000
294	367	217.50982432200
190	294	289.01853226000
190	293	150.07991512300
293	371	411.68679083600
293	367	333.64234510200
60	369	581.50251410900
289	369	147.59406618600
60	289	490.79857084200
288	369	277.56857437700
60	288	367.64280695400
287	369	391.00357204600
60	287	250.10421789900
287	372	308.30444564500
60	372	216.91098556400
369	372	639.70274185100
370	372	567.48155191000
369	370	166.72491715500
288	372	425.78898454100
289	372	548.90486628500
370	371	237.58223537300
83	371	683.62843280200
83	370	559.37263674500
297	371	258.32244169300
297	370	161.69437572200
83	297	463.52820635600
298	371	421.37653490700
298	370	296.83292162900
83	298	341.14056139800
299	370	412.24977479700
299	371	536.95274281000
83	299	225.24797310500
300	370	517.00327040700
300	371	641.68692194600
318	376	237.54742695000
376	378	208.92311460900
319	376	166.95637346700
128	379	732.99915289600
128	358	589.25616729300
128	359	701.45929717200
64	68	247.21581044200
60	370	509.63230386100
67	301	241.33839178700
69	71	216.77759323400
287	370	318.62864508400
288	370	219.81580017500
291	367	193.80829550100
